"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-01",,,,,,,,,"0.00",",,7,0800",,,,,,,"102",",,7","57",",,7","76",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-02",,,,,,,,,"0.00",",,7,0800",,,,,,,"100",",,7","63",",,7","68",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-03",,,,,,,,,"0.00",",,7,0800",,,,,,,"98",",,7","63",",,7","73",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-04",,,,,,,,,"0.00",",,7,0800",,,,,,,"98",",,7","63",",,7","75",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-05",,,,,,,,,"0.00",",,7,0800",,,,,,,"102",",,7","63",",,7","74",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-06",,,,,,,,,"0.00",",,7,0800",,,,,,,"100",",,7","65",",,7","80",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-07",,,,,,,,,"0.00",",,7,0800",,,,,,,"101",",,7","71",",,7","73",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-08",,,,,,,,,"0.00",",,7,0800",,,,,,,"95",",,7","68",",,7","76",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-09",,,,,,,,,"0.00",",,7,0800",,,,,,,"102",",,7","64",",,7","76",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-10",,,,,,,,,"0.00",",,7,0800",,,,,,,"102",",,7","62",",,7","69",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-11",,,,,,,,,"0.00",",,7,0800",,,,,,,"102",",,7","61",",,7","65",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-12",,,,,,,,,"0.00",",,7,0800",,,,,,,"89",",,7","62",",,7",,,,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-13",,,,,,,,,"0.00",",,7,0800",,,,,,,"92",",,7","60",",,7","70",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-14",,,,,,,,,"0.00",",,7,0800",,,,,,,"96",",,7","67",",,7","78",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-15",,,,,,,,,"0.00",",,7,0800",,,,,,,"98",",,7","72",",,7","76",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-16",,,,,,,,,"0.00",",,7,0800",,,,,,,"89",",,7","63",",,7",,,,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-17",,,,,,,,,"0.00",",,7,0800",,,,,,,"91",",,7","70",",,7",,,,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-18",,,,,,,,,"0.00",",,7,0800",,,,,,,"92",",,7","60",",,7",,,,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-19",,,,,,,,,"0.00",",,7,0800",,,,,,,"99",",,7","62",",,7","68",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-20",,,,,,,,,"0.00",",,7,0800",,,,,,,"95",",,7","68",",,7","74",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-21",,,,,,,,,"0.00",",,7,0800",,,,,,,"91",",,7","64",",,7","68",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-22",,,,,,,,,"0.00",",,7,0800",,,,,,,"91",",,7","64",",,7","70",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-23",,,,,,,,,"0.00",",,7,0800",,,,,,,"92",",,7","62",",,7","68",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-24",,,,,,,,,"0.00",",,7,0800",,,,,,,"92",",,7","61",",,7","68",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-25",,,,,,,,,"0.00",",,7,0800",,,,,,,"93",",,7","63",",,7","79",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-26",,,,,,,,,"0.00",",,7,0800",,,,,,,"100",",,7","65",",,7","76",",,7,0800",,,,,,,,,,,,,,,,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","2014-07-27",,,,,,,,,"0.00",",,7,0800",,,,,,,"103",",,7","71",",,7","80",",,7,0800",,,,,,,,,,,,,,,,
